year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error
2025,4,3,0,14910.0,15709,-798.7310207818682,798.7310207818682,5.357015565270746
2025,5,3,0,14910.0,15760,-850.1009921245895,850.1009921245895,5.701549242954994
2025,6,3,0,18203.0,16277,1926.3928778406062,1926.3928778406062,10.5828318290425
2025,1,4,0,3962.0,4158,-196.16012220136508,196.16012220136508,4.951037915228801
2025,2,4,0,4717.0,4184,532.8783216130669,532.8783216130669,11.296975230296097
2025,3,4,0,4717.0,4772,-54.941822855244936,54.941822855244936,1.1647619854832507
2025,4,4,0,4717.0,4755,-37.84974363677247,37.84974363677247,0.8024113554541545
2025,5,4,0,4717.0,4760,-43.07897706035419,43.07897706035419,0.9132706605968665
2025,6,4,0,4717.0,4770,-53.16346181272638,53.16346181272638,1.1270608821862707
2025,1,4,0,5877.0,6095,-217.83017248499073,217.83017248499073,3.7064858343541047
2025,2,4,0,6010.0,6394,-384.1574611167807,384.1574611167807,6.391971066834953
2025,3,4,0,6010.0,6284,-274.3153499437458,274.3153499437458,4.564315306884289
2025,4,4,0,6010.0,6258,-247.90724732808212,247.90724732808212,4.124912601132814
2025,5,4,0,6112.0,6287,-174.7047572061183,174.7047572061183,2.8583893521943438
2025,6,4,0,6595.0,6364,230.77505397182904,230.77505397182904,3.499242668261244
2025,1,0,1,1938.0,2046,-108.18248383855439,108.18248383855439,5.5821715086973365
2025,2,0,1,2137.0,2171,-34.06531657902133,34.06531657902133,1.5940719035573856
2025,3,0,1,2137.0,2178,-41.08214464869707,41.08214464869707,1.922421368680256
2025,4,0,1,2137.0,2178,-41.08214464869707,41.08214464869707,1.922421368680256
2025,5,0,1,2137.0,2178,-41.08214464869707,41.08214464869707,1.922421368680256
2025,6,0,1,2137.0,2178,-40.90152870666816,40.90152870666816,1.913969523007401
2025,1,0,1,1053.0,1226,-173.09673362231683,173.09673362231683,16.438436241435596
2025,2,0,1,1299.0,1264,35.32280378058067,35.32280378058067,2.719230468097049
2025,3,0,1,1299.0,1328,-29.17802615633309,29.17802615633309,2.2461913900179438
2025,4,0,1,1299.0,1328,-28.870791713015933,28.870791713015933,2.2225397777533433
